DCGM_FI_DEV_GPU_TEMP, gauge, GPU temperature (C).
DCGM_FI_DEV_MEMORY_TEMP, gauge, Memory temperature (C).
DCGM_FI_DEV_POWER_USAGE, gauge, Power draw (W).
DCGM_FI_DEV_SM_CLOCK, gauge, SM clock (MHz).
DCGM_FI_DEV_THERMAL_VIOLATION, counter, Throttling duration due to thermal constraints (us).
DCGM_FI_DEV_POWER_VIOLATION, counter, Throttling duration due to power constraints (us).
DCGM_FI_DEV_GPU_UTIL, gauge, GPU utilization (%).
DCGM_FI_PROF_GR_ENGINE_ACTIVE, gauge, Ratio of time the graphics/compute engine is active (0-1).
DCGM_FI_PROF_SM_ACTIVE, gauge, Ratio of cycles an SM has at least 1 warp assigned (0-1).
DCGM_FI_PROF_SM_OCCUPANCY, gauge, Ratio of resident warps to the theoretical maximum (0-1).
DCGM_FI_PROF_PIPE_TENSOR_ACTIVE, gauge, Ratio of cycles the tensor (HMMA) pipe is active (0-1).
DCGM_FI_PROF_DRAM_ACTIVE, gauge, Ratio of cycles the device memory interface is active (0-1).
DCGM_FI_DEV_FB_TOTAL, gauge, Framebuffer memory total (MiB).
DCGM_FI_DEV_FB_FREE, gauge, Framebuffer memory free (MiB).
DCGM_FI_DEV_FB_USED, gauge, Framebuffer memory used (MiB).
DCGM_FI_DEV_FB_RESERVED, gauge, Framebuffer memory reserved (MiB).
DCGM_FI_PROF_NVLINK_TX_BYTES, gauge, NVLink bytes transmitted (per second).
DCGM_FI_PROF_NVLINK_RX_BYTES, gauge, NVLink bytes received (per second).
DCGM_FI_PROF_PCIE_TX_BYTES, gauge, PCIe bytes transmitted (per second).
DCGM_FI_PROF_PCIE_RX_BYTES, gauge, PCIe bytes received (per second).
